,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160213:0556,0,0,0,1.69,6.15,0,,,,,,,,,,
20160213:0656,0,0,0,1.66,6.81,0,,,,,,,,,,
20160213:0756,7.37,13.266,3.61,1.65,7.12,0,,,,,,,,,,
20160213:0856,36.43,65.574,11.36,1.63,7.43,0,,,,,,,,,,
20160213:0956,124.68,224.424,17.77,1.61,7.74,0,,,,,,,,,,
20160213:1056,149.21,268.578,22.34,1.88,8.06,0,,,,,,,,,,
20160213:1156,22.1,39.78,24.64,2.14,8.37,0,,,,,,,,,,
20160213:1256,15.6,28.08,24.38,2.41,8.69,0,,,,,,,,,,
20160213:1356,69.08,124.344,21.61,2.61,8.16,0,,,,,,,,,,
20160213:1456,41.75,75.15,16.63,2.81,7.63,0,,,,,,,,,,
20160213:1556,67.59,121.662,9.92,3.01,7.1,0,,,,,,,,,,
20160213:1656,0,0,0,2.75,6.24,0,,,,,,,,,,
20160213:1756,0,0,0,2.5,5.38,0,,,,,,,,,,
20160213:1856,0,0,0,2.24,4.52,0,,,,,,,,,,
20160213:1956,0,0,0,2,4.37,0,,,,,,,,,,
20160213:2056,0,0,0,1.75,4.22,0,,,,,,,,,,
20160213:2156,0,0,0,1.51,4.07,0,,,,,,,,,,
20160213:2256,0,0,0,1.5,4.18,0,,,,,,,,,,
20160213:2356,0,0,0,1.48,4.29,0,,,,,,,,,,
20160214:0056,0,0,0,1.47,4.4,0,,,,,,,,,,
20160214:0156,0,0,0,1.55,4.31,0,,,,,,,,,,
20160214:0256,0,0,0,1.63,4.23,0,,,,,,,,,,
20160214:0356,0,0,0,1.71,4.14,0,,,,,,,,,,
20160214:0456,0,0,0,1.67,4.48,0,,,,,,,,,,
20160214:0556,0,0,0,1.63,4.82,0,,,,,,,,,,
20160214:0656,0,0,0,1.59,5.16,0,,,,,,,,,,
20160214:0756,68.93,124.074,3.89,1.69,5.44,0,,,,,,,,,,
20160214:0856,246.44,443.592,11.66,1.78,5.72,0,,,,,,,,,,
20160214:0956,446.42,803.556,18.08,1.87,6,0,,,,,,,,,,
20160214:1056,656.62,1181.916,22.67,2.52,6.69,0,,,,,,,,,,
20160214:1156,304.86,548.748,24.97,3.17,7.37,0,,,,,,,,,,
20160214:1256,479.5,863.1,24.72,3.82,8.06,0,,,,,,,,,,
20160214:1356,376.3,677.34,21.93,4.16,7.84,0,,,,,,,,,,
20160214:1456,223.39,402.102,16.94,4.5,7.63,0,,,,,,,,,,
20160214:1556,237.37,427.266,10.21,4.84,7.42,0,,,,,,,,,,
